Date,Time,Location,Ring,X,Y,Z,Zone,Area
2023-06-02 00:00:00,17:30:00,DD26EN,39,737390.269,9549367.407,2618.372,PB2,D
2023-06-02 00:00:00,17:30:00,DD26EN,40,737388.915,9549365.673,2618.398,PB2,D
2023-06-02 00:00:00,17:30:00,DD26EN,41,737387.56,9549363.94,2618.424,PB2,D
2023-06-02 00:00:00,17:30:00,DD27EN,65,737331.39,9549340.821,2619.589,PB2,C
2023-06-02 00:00:00,17:30:00,DD27EN,66,737330.036,9549339.088,2619.611,PB2,C
2023-06-04 00:00:00,17:27:00,DD25WN,23,737423.094,9549385.064,2617.848,PB2,D
2023-06-04 00:00:00,17:27:00,DD25WN,24,737421.743,9549383.334,2617.877,PB2,D
2023-06-04 00:00:00,17:30:00,DD8ES,114,737715.116,9548906.086,2615.041,PB1,A
2023-06-04 00:00:00,17:30:00,DD8ES,115,737713.762,9548904.352,2614.988,PB1,A
2023-06-04 00:00:00,17:30:00,DD8ES,116,737712.407,9548902.619,2614.936,PB1,A
2023-06-06 00:00:00,17:30:00,DD26EN,36,737394.333,9549372.608,2618.292,PB2,D
2023-06-06 00:00:00,17:30:00,DD26EN,37,737392.978,9549370.874,2618.319,PB2,D
2023-06-06 00:00:00,17:30:00,DD26EN,38,737391.624,9549369.141,2618.345,PB2,D
2023-06-06 00:00:00,17:30:00,DD27EN,63,737334.099,9549344.288,2619.545,PB2,D
2023-06-06 00:00:00,17:30:00,DD27EN,64,737332.745,9549342.555,2619.567,PB2,D
2023-06-08 00:00:00,17:17:00,DD26WN,50,737362.933,9549356.819,2619.316,PB2,D
2023-06-08 00:00:00,17:17:00,DD26WN,51,737361.579,9549355.085,2619.338,PB2,D
2023-06-08 00:00:00,17:17:00,DD26WN,52,737360.224,9549353.352,2619.36,PB2,D
2023-06-08 00:00:00,17:27:00,DD25WN,21,737425.797,9549388.524,2617.791,PB2,D
2023-06-08 00:00:00,17:27:00,DD25WN,22,737424.446,9549386.794,2617.82,PB2,D
2023-06-10 00:00:00,17:30:00,DD26EN,33,737398.396,9549377.808,2618.213,PB2,D
2023-06-10 00:00:00,17:30:00,DD26EN,34,737397.041,9549376.075,2618.24,PB2,D
2023-06-10 00:00:00,17:30:00,DD26EN,35,737395.687,9549374.341,2618.266,PB2,D
2023-06-10 00:00:00,17:30:00,DD27EN,61,737336.808,9549347.756,2619.501,PB2,D
2023-06-10 00:00:00,17:30:00,DD27EN,62,737335.453,9549346.022,2619.523,PB2,D
2023-06-13 00:00:00,17:29:00,DD25WN,19,737428.5,9549391.984,2617.734,PB2,D
